date,what-is-eu,what-is-brexit,what-is-article-50,what-is-single-market,is-sweden-in-the-eu,is-russia-in-the-eu
2016-08-24,1,1,1,0,11,0
2016-08-25,1,1,0,0,0,0
2016-08-26,1,1,0,0,0,0
2016-08-27,1,1,1,3,0,0
2016-08-28,1,0.5,0,0,0,0
2016-08-29,1,1,0,3,0,0
2016-08-30,1,1,0,3,0,0
2016-08-31,1,1,0,6,3,0
2016-09-01,2,1,0,3,4,0
2016-09-02,1,1,0,0,0,0
2016-09-03,1,1,0,0,0,0
2016-09-04,1,2,1,3,0,0
2016-09-05,1,2,1,3,0,0
2016-09-06,1,1,0,3,3,0
2016-09-07,1,2,1,6,0,0
2016-09-08,1,2,1,3,4,0
2016-09-09,1,1,0,6,0,5
2016-09-10,1,0,0,0,0,0
2016-09-11,1,0.5,2,0,0,0
2016-09-12,1,2,1,3,3,0
2016-09-13,1,0.5,0,0,0,0
2016-09-14,1,0.5,1,3,0,0
2016-09-15,2,1,0,6,4,0
2016-09-16,1,1,1,0,0,0
2016-09-17,1,1,0,0,4,0
2016-09-18,1,1,0,3,0,0
2016-09-19,2,1,0,0,3,0
2016-09-20,1,1,0,0,0,5
2016-09-21,1,1,0,0,3,0
2016-09-22,1,1,0,3,4,0
2016-09-23,1,1,0,3,0,0
2016-09-24,2,1,0,0,0,0
2016-09-25,1,1,0,0,0,0
2016-09-26,1,1,0,0,0,0
2016-09-27,2,1,0,0,0,0
2016-09-28,1,1,1,0,0,0
2016-09-29,1,1,1,3,0,0
2016-09-30,1,2,0,3,0,0
2016-10-01,1,1,0,0,0,6
2016-10-02,2,3,5,6,0,0
2016-10-03,2,2,1,8,0,0
2016-10-04,2,1,0,7,3,0
2016-10-05,1,1,0,3,0,5
2016-10-06,2,1,0,8,0,0
2016-10-07,1,2,1,4,0,0
2016-10-08,1,1,1,3,0,0
2016-10-09,2,2,3,5,0,0
2016-10-10,1,1,1,6,3,0
2016-10-11,2,2,1,3,7,0
2016-10-12,2,2,0,6,0,0
2016-10-13,2,3,1,6,0,0
2016-10-14,1,3,1,7,0,0
2016-10-15,2,2,0,6,0,6
2016-10-16,1,2,0,4,0,0
2016-10-17,1,2,0,4,0,0
2016-10-18,1,2,1,5,3,0
2016-10-19,2,1,0,3,3,0
2016-10-20,2,2,0,0,0,0
2016-10-21,1,3,0,7,0,5
2016-10-22,1,2,1,3,0,0
2016-10-23,2,2,2,3,4,0
2016-10-24,2,2,2,5,3,0
2016-10-25,1,1,1,5,0,0
2016-10-26,1,1,0,3,0,5
2016-10-27,1,1,0,0,3,0
2016-10-28,1,2,1,0,0,0
2016-10-29,1,2,0,3,0,0
2016-10-30,2,2,1,3,0,5
2016-10-31,1,3,0,6,0,0
2016-11-01,2,1,0,3,3,0
2016-11-02,1,1,0,3,0,0
2016-11-03,2,5,6,0,0,0
2016-11-04,1,5,6,3,3,0
2016-11-05,1,3,1,3,0,0
2016-11-06,1,2,1,3,0,0
2016-11-07,1,2,1,3,0,0
2016-11-08,2,1,2,3,3,0
2016-11-09,2,8,1,0,0,0
2016-11-10,2,4,1,3,0,0
2016-11-11,2,3,2,3,7,0
2016-11-12,1,3,0,3,4,0
2016-11-13,2,2,0,6,3,0
2016-11-14,3,2,2,3,0,5
2016-11-15,2,2,1,4,0,0
2016-11-16,2,2,0,3,0,0
2016-11-17,1,2,0,3,0,0
2016-11-18,1,1,1,0,0,5
2016-11-19,1,1,1,3,0,6
2016-11-20,2,2,0,4,0,0
2016-11-21,2,2,0,5,6,0
2016-11-22,1,2,1,3,0,0
2016-11-23,2,2,0,3,3,0
2016-11-24,1,2,0,5,0,0
2016-11-25,2,2,0,4,3,0
2016-11-26,1,0.5,0,4,0,0
2016-11-27,1,2,1,3,3,0
2016-11-28,2,2,1,9,0,0
2016-11-29,2,2,0,8,0,0
2016-11-30,2,2,1,3,0,0
2016-12-01,2,1,0,8,3,10
2016-12-02,2,2,0,4,0,0
2016-12-03,1,1,0,0,0,0
2016-12-04,1,1,1,8,0,0
2016-12-05,2,3,2,0,0,5
2016-12-06,2,2,2,8,0,0
2016-12-07,1,3,1,7,0,0
2016-12-08,2,1,1,4,0,0
2016-12-09,2,1,1,6,7,0
2016-12-10,1,1,0,0,0,0
2016-12-11,1,1,0,4,0,0
2016-12-12,1,1,0,5,3,0
2016-12-13,2,1,0,0,0,5
2016-12-14,1,2,1,3,0,0
2016-12-15,1,1,1,3,0,5
2016-12-16,1,2,0,3,4,0
2016-12-17,1,0.5,1,3,4,0
2016-12-18,1,1,0,3,0,0
2016-12-19,1,1,0,0,3,0
2016-12-20,2,1,0,6,0,0
2016-12-21,1,1,0,3,4,0
2016-12-22,1,1,0,0,0,0
2016-12-23,1,1,0,0,0,0
2016-12-24,1,1,0,0,0,0
2016-12-25,1,0,0,0,0,0
2016-12-26,1,1,0,3,0,0
2016-12-27,1,1,1,0,0,0
2016-12-28,1,0.5,0,3,0,0
2016-12-29,1,0.5,0,0,3,0
2016-12-30,1,0.5,0,3,7,0
2016-12-31,1,1,1,0,0,0
